SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score,TemporalAvail,SpatialAvail,FisheriesCollMonth,FisheriesCollSeason,FisheriesLatDD,FisheriesLongDD,MissingSBND
11-0652,NF001750,Semidi,0.997939228,1.752043644,1,1,4,nonbreeding,59.21667,-146.21667,
11-0653,NF001751,Semidi,0.998069781,0.954050502,1,1,6,breeding,59.94667,-178.995,
11-0654,NF001752,StMatthew,0.98367438,-0.578949467,1,1,6,breeding,59.84833,-179.00333,
11-0656,NF001754,StMatthew,0.999949787,-1.054736525,1,1,6,breeding,59.84833,-178.87,
11-0657,NF001755,StMatthew,0.999628499,-0.286055081,1,1,6,breeding,59.84833,-178.87,
11-0659,NF001757,StMatthew,0.997930843,0.859634612,1,1,7,breeding,57.61667,-173.51667,
11-0660,NF001758,StMatthew,0.999924462,-0.761488337,0,0,,,,,4154
11-0678,NF001759,Semidi,0.999989851,0.751306249,1,1,9,breeding,55.46333,-156.90167,
11-0679,NF001760,StMatthew,0.93447004,0.769105147,1,1,9,breeding,57.69417,-171.56889,4173
11-0680,NF001761,StMatthew,0.994334425,-0.06777389,1,1,11,nonbreeding,56.40528,-166.97167,
11-0683,NF001764,Semidi,0.999666965,0.758494228,1,1,10,nonbreeding,56.53667,-166.52167,
11-0684,NF001765,StMatthew,0.99434589,0.981812487,1,1,10,nonbreeding,55.76167,-168.21667,4178
11-0686,NF001767,Semidi,0.998088045,0.144891173,1,1,10,nonbreeding,55.61167,-168.03167,4180
11-0732,NF001768,StMatthew,0.999770609,0.207724271,1,1,11,nonbreeding,57.28333,-165.145,
11-0735,NF001771,StMatthew,0.965256318,-0.373581117,1,1,11,nonbreeding,55.22833,-167.64667,4213
11-0736,NF001772,Semidi,0.999984138,0.648305451,1,1,11,nonbreeding,54.87861,-165.35444,4214
11-0737,NF001773,Semidi,0.999226913,1.650304402,1,1,11,nonbreeding,56.21778,-168.73611,
11-0738,NF001774,Chagulak,0.997990325,0.625631426,0,1,,,58.57333,-176.83889,4216
